   1    3.000000E-02    2.249455E+04    7.498182E+05
   5    3.000000E-02    2.232134E+04    7.440446E+05
  10    3.000000E-02    2.220622E+04    7.402074E+05
  25    3.000000E-02    2.169495E+04    7.231650E+05
  50    3.000000E-02    2.067464E+04    6.891547E+05
 100    3.000000E-02    1.857461E+04    6.191536E+05
   1    3.000000E-02    3.846154E+00    2.249455E+04    7.498182E+05
   5    3.000000E-02    3.846154E+00    2.232134E+04    7.440446E+05
  10    3.000000E-02    3.846154E+00    2.220622E+04    7.402074E+05
  25    3.000000E-02    3.846154E+00    2.169495E+04    7.231650E+05
  50    3.000000E-02    3.846154E+00    2.067464E+04    6.891547E+05
 100    3.000000E-02    3.846154E+00    1.857461E+04    6.191536E+05
   1    3.000000E-01    3.846154E+00    2.881609E+04    9.605364E+04
   5    3.000000E-01    3.846154E+00    2.860830E+04    9.536101E+04
  10    3.000000E-01    3.846154E+00    2.821494E+04    9.404979E+04
  25    3.000000E-01    3.846154E+00    2.746669E+04    9.155562E+04
  50    3.000000E-01    3.846154E+00    2.596643E+04    8.655475E+04
 100    3.000000E-01    3.846154E+00    2.315193E+04    7.717309E+04
   1    3.000000E-03    3.846154E+00    2.997424E+02    9.991414E+04
   5    3.000000E-03    3.846154E+00    6.241461E+02    2.080487E+05
  10    3.000000E-03    3.846154E+00    9.226670E+02    3.075557E+05
  25    3.000000E-03    3.846154E+00    1.477276E+03    4.924252E+05
  50    3.000000E-03    3.846154E+00    1.723319E+03    5.744395E+05
 100    3.000000E-03    3.846154E+00    1.724657E+03    5.748855E+05
   1    0.000000E+00    3.846154E+00    1.507729E+00             INF
   5    0.000000E+00    3.846154E+00    5.684069E+00             INF
  10    0.000000E+00    3.846154E+00    1.136017E+01             INF
  25    0.000000E+00    3.846154E+00    3.323347E+01             INF
  50    0.000000E+00    3.846154E+00    5.486717E+01             INF
 100    0.000000E+00    3.846154E+00    7.283460E+01             INF
